audience_id,audience_name,vertical,sales_stage,client_type,persona,primary_kpi,business_question,match_households_m,match_rate_pct,topic_affinity_index,action_propensity_index,ctv_index,linear_index,web_index,social_index,dma_lift_index,daypart_fit_index,measurement_confidence,activation_readiness,discovery_score,package_recommendation,narrative_headline,insight_summary
AUD-STREAM-01,Premium Streaming Switchers,Entertainment,Pre-sales RFP,Agency holding company,Households comparing premium streaming bundles,trial starts,Where should a streaming brand find likely switchers without overbuying the same CTV viewers?,7.43,42.8,129.2,122,139,94,128,118,128.6,126.5,79.3,94,112.2,Lead package,"Streaming switchers over-index on review content, late evening CTV, and mobile sign-up research.","Households comparing premium streaming bundles show a defendable path from content interest to trial starts when the package connects topic, screen, place, and measurement evidence."
AUD-QSR-02,Value QSR Occasion Builders,Restaurants,Post-sales optimization,National brand,"Families and commuters choosing quick meals by price, route, and time of day",store visits,Which consumption windows and local signals should guide value-menu creative rotation?,8.57,49.4,132.0,116,112,106,119,130,138.9,116.8,81.0,94,109.9,Test package,Value dining demand clusters around commute and weekend errand windows with strong local offer sensitivity.,"Families and commuters choosing quick meals by price, route, and time of day show a defendable path from content interest to store visits when the package connects topic, screen, place, and measurement evidence."
AUD-AUTO-03,EV Curious Auto Intenders,Automotive,Pre-sales strategy,OEM media team,"In-market buyers comparing hybrid, EV, and charging cost tradeoffs",dealer lead submissions,How should an EV launch separate curiosity from high-intent research?,6.25,43.8,121.5,135,123,87,145,113,130.8,126.8,89.5,91.5,111.3,Lead package,"High-intent EV audiences show stronger charging, tax-credit, and local inventory signals than broad green topics.","In-market buyers comparing hybrid, EV, and charging cost tradeoffs show a defendable path from content interest to dealer lead submissions when the package connects topic, screen, place, and measurement evidence."
AUD-TRAVEL-04,Family Vacation Planners,Travel,Pre-sales RFP,Travel marketplace,"Parents balancing school calendars, deal windows, and destination research",booking starts,Which audience story supports a seasonal family travel package before peak planning closes?,7.13,41.7,129.2,128,118,101,136,126,127.7,121.5,79.6,93.4,111.3,Lead package,"Family planners move from inspiration to price checks quickly, especially in school-break feeder markets.","Parents balancing school calendars, deal windows, and destination research show a defendable path from content interest to booking starts when the package connects topic, screen, place, and measurement evidence."
AUD-FIN-05,Cash-Flow Conscious Borrowers,Financial services,Post-sales expansion,Fintech growth team,"Consumers researching debt consolidation, credit score movement, and monthly payment relief",qualified applications,Which segments are ready for education-led acquisition rather than rate-only messaging?,6.17,40.3,132.0,132,107,92,147,121,131.7,120.7,80.1,94,110.6,Test package,Borrower intent is strongest where credit education and monthly payment calculators appear together.,"Consumers researching debt consolidation, credit score movement, and monthly payment relief show a defendable path from content interest to qualified applications when the package connects topic, screen, place, and measurement evidence."
AUD-HEALTH-06,Active Wellness Routine Builders,Health and fitness,Client renewal,Retail media advertiser,"Adults building routines around fitness, supplements, sleep, and meal planning",retail conversions,Which wellness motivations should shape the next creative and contextual audience test?,6.83,40.6,129.2,119,116,89,130,137,126.8,121.5,78.7,93.5,109.4,Test package,Routine builders respond to goal-based content more than generic fitness reach.,"Adults building routines around fitness, supplements, sleep, and meal planning show a defendable path from content interest to retail conversions when the package connects topic, screen, place, and measurement evidence."
AUD-RETAIL-07,Deal-Led Omnichannel Shoppers,Retail,Pre-sales strategy,Big-box retailer,"Shoppers comparing circulars, social deal content, pickup options, and loyalty offers",incremental store and site actions,How can a retail advertiser connect deal intent to channel and creative choices?,9.23,49.7,129.2,114,110,104,126,142,134.0,118.9,81.5,94,111.2,Lead package,Deal-led shoppers need a cross-device plan because discovery happens socially and conversion often moves to web or store.,"Shoppers comparing circulars, social deal content, pickup options, and loyalty offers show a defendable path from content interest to incremental store and site actions when the package connects topic, screen, place, and measurement evidence."
AUD-HOME-08,Home Project Researchers,Home improvement,Post-sales optimization,Retail and services brand,"Homeowners researching project difficulty, contractor cost, and seasonal timing",quote requests,Which project signals should split DIY education from pro-service lead generation?,6.45,44.5,121.5,126,121,99,141,115,131.4,125.2,89.4,91.8,109.8,Test package,"Project researchers move from inspiration to quote behavior when cost, weather, and difficulty content align.","Homeowners researching project difficulty, contractor cost, and seasonal timing show a defendable path from content interest to quote requests when the package connects topic, screen, place, and measurement evidence."
AUD-B2B-09,Small Business Software Evaluators,B2B software,Pre-sales RFP,SaaS demand generation,"Operators comparing automation, invoicing, workflow, and analytics tools",demo requests,Which business-owner signals are specific enough to support a targeted CTV plus digital plan?,4.47,33.9,132.0,131,103,76,149,118,126.6,118.7,78.1,94,107.6,Test package,"Software evaluators cluster around workflow pain and peer proof, not broad entrepreneurship content.","Operators comparing automation, invoicing, workflow, and analytics tools show a defendable path from content interest to demo requests when the package connects topic, screen, place, and measurement evidence."
AUD-SPORTS-10,Live Sports Streaming Fans,Media and sports,Client renewal,Sports media seller,"Fans mixing linear games, highlights, fantasy research, and social clips",subscription and tune-in actions,How should a sports package prove incremental reach across linear and streaming?,8.13,45.5,129.2,123,146,133,124,139,130.7,133.7,79.9,94,115.2,Lead package,Sports fans show a measurable bridge from linear tune-in to streaming highlights and mobile companion behavior.,"Fans mixing linear games, highlights, fantasy research, and social clips show a defendable path from content interest to subscription and tune-in actions when the package connects topic, screen, place, and measurement evidence."
AUD-CPG-11,Better-For-You Grocery Explorers,CPG,Post-sales expansion,Consumer brand,"Shoppers evaluating ingredients, recipes, dietary swaps, and retailer availability",retail actions,"Which content affinities should inform audience, retail media, and creative messaging?",7.47,45.3,132.0,118,109,97,132,144,135.6,122.8,80.6,94,110.6,Test package,Ingredient curiosity becomes purchase intent when recipe content and local availability are both present.,"Shoppers evaluating ingredients, recipes, dietary swaps, and retailer availability show a defendable path from content interest to retail actions when the package connects topic, screen, place, and measurement evidence."
AUD-LUX-12,Aspirational Luxury Researchers,Luxury retail,Pre-sales strategy,Premium retail brand,"Shoppers researching investment pieces, creator reviews, resale value, and gifting moments",high-value site actions,How can premium creative reach high-intent researchers without diluting brand context?,3.67,30.8,132.0,136,117,82,151,127,124.2,127.9,77.2,94,109.9,Test package,"Luxury researchers need curated context, premium CTV adjacency, and high-confidence measurement before scale.","Shoppers researching investment pieces, creator reviews, resale value, and gifting moments show a defendable path from content interest to high-value site actions when the package connects topic, screen, place, and measurement evidence."
