entity_id,entity_name,segment,owner
AUD001,Audience opportunity 1,Core,Product
AUD002,Audience opportunity 2,Core,Customer
AUD003,Audience opportunity 3,Watch,Analytics
AUD004,Audience opportunity 4,Core,Product
AUD005,Audience opportunity 5,Strategic,Product
AUD006,Audience opportunity 6,Strategic,Customer
AUD007,Audience opportunity 7,Core,Operations
AUD008,Audience opportunity 8,Watch,Customer
AUD009,Audience opportunity 9,Strategic,Operations
AUD010,Audience opportunity 10,Growth,Customer
AUD011,Audience opportunity 11,Strategic,Product
AUD012,Audience opportunity 12,Growth,Operations
AUD013,Audience opportunity 13,Strategic,Analytics
AUD014,Audience opportunity 14,Growth,Analytics
AUD015,Audience opportunity 15,Strategic,Operations
AUD016,Audience opportunity 16,Growth,Product
AUD017,Audience opportunity 17,Strategic,Revenue
AUD018,Audience opportunity 18,Strategic,Revenue
AUD019,Audience opportunity 19,Strategic,Operations
AUD020,Audience opportunity 20,Watch,Customer
AUD021,Audience opportunity 21,Watch,Product
AUD022,Audience opportunity 22,Strategic,Customer
AUD023,Audience opportunity 23,Growth,Operations
AUD024,Audience opportunity 24,Watch,Analytics
AUD025,Audience opportunity 25,Core,Operations
AUD026,Audience opportunity 26,Strategic,Product
AUD027,Audience opportunity 27,Growth,Revenue
AUD028,Audience opportunity 28,Core,Analytics
AUD029,Audience opportunity 29,Growth,Product
AUD030,Audience opportunity 30,Core,Analytics
AUD031,Audience opportunity 31,Growth,Customer
AUD032,Audience opportunity 32,Strategic,Customer
AUD033,Audience opportunity 33,Core,Customer
AUD034,Audience opportunity 34,Growth,Customer
AUD035,Audience opportunity 35,Core,Revenue
AUD036,Audience opportunity 36,Strategic,Revenue
